_id,year,inam,type,region,exch,branch,foot,title,vols,volcount,ebooks,totexp,explm,exponetime,expongoing,expcollsup,totsal,salprf,salnprf,salstud,opexp,fringedol,fringepct,expbibue,totstfx,prfstf,nprfstf,studast,totstf,grppres,sample1,presptcp,sample2,reftrans,sample3,initcirc,item,regsearches,fedsearches,illtot,ilbtot,gatecount,phdawd,phdfld,fac,totstu,totpt,gradstu,gradpt
Library number (orig instno),Year,Library name,Type,Region,Canadian exchange rate,,,Titles held June 30 - Now includes all formats,Volumes held June 30,Basis of volume count is Physical or Bibliographic (Y/N),Electronic books,Total Library Expenditures,Total Library Materials Expenditures,One-time resource purchases,"Ongoing resource purchases (e.g. subscriptions, annual license fees)",Collection support,Total Salaries and Wages (Excluding fringe benefits),Professional staff,Support staff,Student assistants,Other operating expenditures,Fringe Benefits,Official designated percent,Consortia/Networks/Bibliographic Utilities Expenditures from External Sources,Total Staff FTE,"Professional staff, FTE","Support staff, FTE","Student assistants, FTE",Total staff,Number of library presentations to groups,Is the library presentations figure based on sampling?,Number of total participants in group presentations reported in line 14,Is the total participants figure based on sampling?,Number of reference transactions,Is the reference transactions figure based on sampling?,Number of initial circulations,Number of successful full-text article requests (journals),Number of regular searches (databases),Number of federated searches (databases),Total number of filled requests provided to other libraries,Total number of filled requests received from other libraries or providers,Annual gate count,Number of Doctor's Degrees awarded in FY2014-15,Number of fields in which Doctor's Degrees can be awarded,Number of full-time instructional faculty in FY2014-15,"Full-time students, undergraduate and graduate","Part-time students, undergraduate and graduate",Full-time graduate students,Part-time graduate students
5000,2018,MIAMI,P,5,1,0,1,3411730,3978507,0,1183283,29279973,13709607,1812542,11483617,413448,9672205,6528481,2444254,699470,5898161,2726346,26.2,,241,96,79,66,175,953,0,14208,0,45408,0,96059,2295372,1423904,692520,16157,6404,1629766,853,68,1115,15904,1427,5420,794
1300,2018,"CALIFORNIA, SAN DIEGO",S,9,1,0,1,3405975,5162681,0,1458478,32135690,9864701,1995603,7869098,,17089075,10184691,5473383,1431001,5181914,6896498,52,913728,297,121,116,60,237,732,0,27691,0,16849,0,159099,6905598,12490643,,21558,14806,2111514,521,38,1296,34566,1206,6686,499
2750,2018,GEORGE WASHINGTON,P,5,1,1,1,3299630,3672365,0,1341678,34071381,12809987,1711557,9138800,1959630,16490707,12345561,3262417,882729,4770687,4046381,25,,252,138,88,26,226,4270,1,53007,1,19168,0,84237,4017598,2172318,1070301,16192,44855,1732120,1149,59,1188,18644,8409,7765,7281
8300,2018,TENNESSEE,S,6,1,1,1,3285890,3975865,0,1056620,29611059,16410751,3253126,12776869,380756,11318140,7589470,3236381,492289,1882168,2991511,35,4292,231,110,86,35,196,1164,1,25937,1,34005,1,117154,5022938,4330454,13062791,31996,12344,2499866,1168,64,1803,28072,3808,6797,2425
1200,2018,"CALIFORNIA, RIVERSIDE",S,9,1,0,1,3254318,4099291,1,1072469,13989686,4996416,770738,3940808,284870,7923162,4271796,3139009,512357,1070108,3233754,51,564658,137,39,54,44,93,554,0,12911,0,8315,0,48720,1630247,1262924,0,12052,12457,1524614,354,42,878,23297,625,3087,254
7200,2018,ROCHESTER,P,2,1,0,1,3244749,3643934,0,934370,22983344,12242431,2372966,9785265,84200,8234225,5710339,1928546,595340,2506688,2346962,28,,183,81,59,43,140,956,1,14766,1,21151,1,116289,2480044,2636882,0,15152,18655,116424,365,63,2261,9766,1882,3516,1586
6050,2018,OHIO,S,3,1,1,1,3204084,3363969,0,1074086,12266227,5727460,813422,4601040,312998,5412828,3149455,1710005,553368,1125939,1916363,35,896232,118,47,41,30,88,516,0,11190,0,9031,0,94179,1354236,4137745,21720,33913,28928,1263444,375,44,1236,25641,10808,3038,3092
7400,2018,SOUTH CAROLINA,S,5,1,0,1,3192501,3857542,0,736710,23006956,9996695,369023,9353471,274201,9240332,5377624,3114542,748166,3769929,3160526,29.6,,251,75,104,72,179,1437,0,19237,0,49065,0,72702,2051495,576288588,25092254,14271,16213,1605747,1067,71,1962,32330,3660,7087,2541
2300,2018,DARTMOUTH,P,1,1,0,1,3177993,3591147,0,991009,23127719,12066082,1607956,10124420,333706,9167871,4930217,3696320,541334,1893766,2925038,34,,193,68,98,27,166,993,0,10300,0,11218,0,180588,1244493,3738530,258377,49791,28638,1506498,158,21,772,6436,135,2079,75
550,2018,BOSTON COLLEGE,P,1,1,0,1,3169976,4475483,0,1226080,25606176,13549881,2813391,10403373,333117,10844334,7119888,2842449,881997,1211961,3790365,38,176723,190,85,62,43,147,733,0,9506,0,13223,0,155204,1458239,4189908,,42050,48800,1999518,388,31,834,14628,1348,4707,1124
