url,node_id,rank,label,include
http://www.nysl.nysed.gov/,nysl,0,home,TRUE
http://www.pvamu.edu/,pvamu,0,home,
http://www.pvamu.edu/library/,pvamu_library,0,home,TRUE
http://www.sil.si.edu/,sil,0,home,TRUE
http://www.subr.edu/,subr,0,home,
http://www.subr.edu/page/2441,subr_library,0,home,TRUE
http://www.tnstate.edu/,tnstate,0,home,
http://www.tnstate.edu/library/,tnstate_library,0,home,TRUE
http://www.tsu.edu/,tsu,0,home,
http://www.tsu.edu/academics/library/,tsu_library,0,home,TRUE
http://www.uaslp.mx/,uaslp,0,home,
http://www.ucalgary.ca/,ucalgary,0,home,
http://www.ucdenver.edu/,ucdenver,0,home,
http://www.ucla.edu/,ucla,0,home,
http://www.udg.mx/,udg,0,home,
http://www.ufl.edu/,ufl,0,home,
http://www.uflib.ufl.edu/accessibility/,ufl_library,1,page_accessibility,
http://www.uh.edu/,uh,0,home,
http://www.uky.edu/,uky,0,home,
http://www.ulib.iupui.edu/,iupui_library,0,home,TRUE
http://www.umanitoba.ca/libraries/,umanitoba_library,0,home,TRUE
http://www.unm.edu/,unm,0,home,
http://www.uwyo.edu/,uwyo,0,home,
http://www.uwyo.edu/libraries/,uwyo_library,0,home,TRUE
http://www.vahistorical.org,vahistorical,0,home,TRUE
http://www.virginia.edu/,virginia,0,home,
http://www.winterthur.org,winterthur,0,home,TRUE
http://www.wssu.edu/,wssu,0,home,
http://www2.clarku.edu/research/goddard/,clarku_library,0,home,TRUE
https://aamudigitalcollections.lyrasistechnology.org/,aamu_library,1,collections,
https://acpl-cms.wise.oclc.org/,acpl,0,home,TRUE
https://alabamam.ent.sirsi.net/client/en_US/default,aamu_library,0,home,TRUE
https://alabamam.ent.sirsi.net/client/en_US/default/search/,aamu_library,2,search,
https://alabamam.ent.sirsi.net/client/en_US/default/search/results,aamu_library,3,search,
https://american.edu/,american,0,home,
https://anahuac.primo.exlibrisgroup.com/discovery/search?vid=52ANAHUAC_INST:UAMX,anahuac_library,1,search,
https://arizona-asu-primo.hosted.exlibrisgroup.com/primo-explore/search?vid=01ASU,asu_library,1,search,
