subject,predicate,dobject
uci_library,has_parent,uci
ucla_library,has_parent,ucla
ucmerced_library,has_parent,ucmerced
uconn_library,has_parent,uconn
ucr_library,has_parent,ucr
ucsc_library,has_parent,ucsc
ucsd_library,has_parent,ucsd
udayton_library,has_parent,udayton
udel_library,has_parent,udel
udg_library,has_parent,udg
ufl_library,has_parent,ufl
uga_library,has_parent,uga
uh_library,has_parent,uh
uic_library,has_parent,uic
uidaho_library,has_parent,uidaho
uiowa_library,has_parent,uiowa
uky_library,has_parent,uky
ulaval_library,has_parent,ulaval
umaine_library,has_parent,umaine
umanitoba_library,has_parent,umanitoba
umass_library,has_parent,umass
umassd_library,has_parent,umassd
umb_library,has_parent,umb
umbc_library,has_parent,umbc
umd_library,has_parent,umd
umes_library,has_parent,umes
umich_library,has_parent,umich
umkc_library,has_parent,umkc
uml_library,has_parent,uml
umn_library,has_parent,umn
umsl_library,has_parent,umsl
unam_library,has_parent,unam
unc_library,has_parent,unc
wssu,has_parent,unc
uncc_library,has_parent,uncc
uncfsu_library,has_parent,uncfsu
uncg_library,has_parent,uncg
uncw_library,has_parent,uncw
und_library,has_parent,und
une_library,has_parent,une
unh_library,has_parent,unh
unl_library,has_parent,unl
unlv_library,has_parent,unlv
unm_library,has_parent,unm
uno_library,has_parent,uno
unomaha_library,has_parent,unomaha
unr_library,has_parent,unr
unt_library,has_parent,unt
uoguelph_library,has_parent,uoguelph
uoregon_library,has_parent,uoregon
uottawa_library,has_parent,uottawa
upenn_library,has_parent,upenn
upr_library,has_parent,upr
uri_library,has_parent,uri
usask_library,has_parent,usask
usc_library,has_parent,usc
usd_library,has_parent,usd
usf_library,has_parent,usf
usm_library,has_parent,usm
usu_library,has_parent,usu
uta_library,has_parent,uta
utah_library,has_parent,utah
utdallas_library,has_parent,utdallas
utep_library,has_parent,utep
utexas_library,has_parent,utexas
utk_library,has_parent,utk
utoledo_library,has_parent,utoledo
utoronto_library,has_parent,utoronto
utrgv_library,has_parent,utrgv
utsa_library,has_parent,utsa
utulsa_library,has_parent,utulsa
uvm_library,has_parent,uvm
uwaterloo_library,has_parent,uwaterloo
uwm_library,has_parent,uwm
uwo_library,has_parent,uwo
uwyo_library,has_parent,uwyo
vanderbilt_library,has_parent,vanderbilt
vcu_library,has_parent,vcu
villanova_library,has_parent,villanova
virginia_library,has_parent,virginia
vt_library,has_parent,vt
washington_library,has_parent,washington
wayne_library,has_parent,wayne
wfu_library,has_parent,wfu
wichita_library,has_parent,wichita
wisc_library,has_parent,wisc
wm_library,has_parent,wm
wmich_library,has_parent,wmich
wpi_library,has_parent,wpi
wright_library,has_parent,wright
wssu_library,has_parent,wssu
wsu_library,has_parent,wsu
wustl_library,has_parent,wustl
wvu_library,has_parent,wvu
yale_library,has_parent,yale
yorku_library,has_parent,yorku
yu_library,has_parent,yu
getty_library,has_parent,getty
