node,url,rank,label,include
fordham_library,https://www.fordham.edu/info/27156/libraries,0,home,TRUE
fsu_library,https://www.lib.fsu.edu/,0,home,TRUE
gallaudet_library,https://www.gallaudet.edu/library,0,home,TRUE
gatech_library,http://library.gatech.edu/,0,home,TRUE
georgetown_library,https://www.library.georgetown.edu/,0,home,TRUE
georgiasouthern_library,https://library.georgiasouthern.edu/,0,home,TRUE
getty_library,https://www.getty.edu/research/library/,0,home,TRUE
gmu_library,https://library.gmu.edu/,0,home,TRUE
gsu_library,https://library.gsu.edu/,0,home,TRUE
gwla,https://www.gwla.org/,0,home,TRUE
gwu_library,https://library.gwu.edu/,0,home,TRUE
hab,http://www.hab.de,0,home,TRUE
hamptonu_library,http://lib.hamptonu.edu/,0,home,TRUE
harvard_library,https://library.harvard.edu/,0,home,TRUE
hawaii_library,http://manoa.hawaii.edu/library/,0,home,TRUE
hbculibraries,http://hbculibraries.org/,0,home,TRUE
hclib,https://www.hclib.org/,0,home,TRUE
houstonlibrary,https://houstonlibrary.org/,0,home,TRUE
hsp,http://www.hsp.org/,0,home,TRUE
huntington,http://www.huntington.org,0,home,TRUE
iastate_library,http://www.lib.iastate.edu/,0,home,TRUE
iit_library,https://library.iit.edu/,0,home,TRUE
illinois_library,https://library.illinois.edu/,0,home,TRUE
illinoisstate_library,https://library.illinoisstate.edu/,0,home,TRUE
indiana_library,https://libraries.indiana.edu/,0,home,TRUE
ipn_library,https://www.ipn.mx/biblioteca/,0,home,TRUE
isu_library,https://www.isu.edu/library/,0,home,TRUE
iupui_library,http://www.ulib.iupui.edu/,0,home,TRUE
jcbl,http://www.jcbl.org,0,home,TRUE
jefferson_library,http://library.jefferson.edu/,0,home,TRUE
jhu_library,https://www.library.jhu.edu/,0,home,TRUE
k-state_library,https://www.lib.k-state.edu/,0,home,TRUE
kcls,https://kcls.org/,0,home,TRUE
kennesaw_library,https://library.kennesaw.edu/,0,home,TRUE
kent_library,https://www.library.kent.edu/,0,home,TRUE
ku_library,https://lib.ku.edu/,0,home,TRUE
lacountylibrary,https://lacountylibrary.org/,0,home,TRUE
lapl,https://www.lapl.org/,0,home,TRUE
latech_library,https://www.latech.edu/library/,0,home,TRUE
lehigh_library,https://library.lehigh.edu/,0,home,TRUE
librarieshawaii,https://www.librarieshawaii.org/,0,home,TRUE
librarycompany,http://www.librarycompany.org,0,home,TRUE
lindahall,http://www.lindahall.org,0,home,TRUE
lmu_library,https://library.lmu.edu/,0,home,TRUE
loc,http://www.loc.gov/,0,home,TRUE
louisiana_library,https://library.louisiana.edu/,0,home,TRUE
louisville_library,http://louisville.edu/library/,0,home,TRUE
lsu_library,https://www.lib.lsu.edu/,0,home,TRUE
luc_library,http://libraries.luc.edu/,0,home,TRUE
luma,https://www.luc.edu/luma/,0,home,TRUE
lvccld,https://lvccld.org/,0,home,TRUE
marquette_library,https://www.marquette.edu/library/,0,home,TRUE
marshall_library,http://www.marshall.edu/library/,0,home,TRUE
masshist,http://www.masshist.org,0,home,TRUE
mcachicago,https://mcachicago.org/,0,home,TRUE
mcgill_library,http://www.mcgill.ca/library/,0,home,TRUE
mcmaster_library,http://www.mcmaster.ca/library/,0,home,TRUE
mdpls,https://www.mdpls.org/,0,home,TRUE
memphis_library,https://www.memphis.edu/libraries/,0,home,TRUE
mercer_library,https://libraries.mercer.edu/,0,home,TRUE
metmuseum,https://www.metmuseum.org/,0,home,TRUE
metmuseum_library,https://www.metmuseum.org/art/libraries-and-research-centers,0,home,TRUE
miami_library,https://www.library.miami.edu/,0,home,TRUE
miamioh_library,https://www.lib.miamioh.edu/,0,home,TRUE
mines_library,https://library.mines.edu/,0,home,TRUE
missouri_library,http://library.missouri.edu/,0,home,TRUE
mit_library,https://libraries.mit.edu/,0,home,TRUE
mocp,https://www.mocp.org/,0,home,TRUE
moma,https://www.moma.org/,0,home,TRUE
moma_library,https://www.moma.org/research-and-learning/library/,0,home,TRUE
montana_library,https://www.lib.montana.edu/,0,home,TRUE
montclair_library,https://www.montclair.edu/library/,0,home,TRUE
morganlibrary,http://www.morganlibrary.org,0,home,TRUE
msichicago,https://www.msichicago.org/,0,home,TRUE
msstate_library,http://lib.msstate.edu/,0,home,TRUE
mst_library,https://library.mst.edu/,0,home,TRUE
msu_library,https://lib.msu.edu/,0,home,TRUE
mtu_library,https://www.mtu.edu/library/,0,home,TRUE
nal,http://www.nal.usda.gov/,0,home,TRUE
nationalmuseumofmexicanart,http://nationalmuseumofmexicanart.org/,0,home,TRUE
naturemuseum,https://naturemuseum.org/,0,home,TRUE
nau_library,https://nau.edu/library/,0,home,TRUE
ncsu_library,https://www.lib.ncsu.edu/,0,home,TRUE
nd_library,https://library.nd.edu/,0,home,TRUE
ndsu_library,https://library.ndsu.edu/,0,home,TRUE
newark_library,https://www.newark.rutgers.edu/libraries,0,home,TRUE
newberry,http://www.newberry.org,0,home,TRUE
newschool_library,https://library.newschool.edu/,0,home,TRUE
niu_library,https://www.niu.edu/ulib/,0,home,TRUE
njit_library,https://library.njit.edu/,0,home,TRUE
nlm,http://www.nlm.nih.gov/,0,home,TRUE
nmsu_library,https://library.nmsu.edu/,0,home,TRUE
northeastern_library,https://library.northeastern.edu/,0,home,TRUE
nova_library,https://sherman.library.nova.edu/,0,home,TRUE
nw_library,https://www.library.northwestern.edu/,0,home,TRUE
nyam,http://www.nyam.org,0,home,TRUE
nyhistory,http://www.nyhistory.org,0,home,TRUE
nysl,http://www.nysl.nysed.gov/,0,home,TRUE
nyu_library,http://library.nyu.edu/,0,home,TRUE
oakland_library,https://library.oakland.edu/,0,home,TRUE
odu_library,https://www.odu.edu/library,0,home,TRUE
ohio_library,https://www.ohio.edu/library/,0,home,TRUE
oi,https://oi.uchicago.edu/,0,home,TRUE
okstate_library,https://library.okstate.edu/,0,home,TRUE
olemiss_library,https://libraries.olemiss.edu/,0,home,TRUE
oregonstate_library,https://library.oregonstate.edu/,0,home,TRUE
osu_library,https://library.osu.edu/,0,home,TRUE
ou_library,https://libraries.ou.edu/,0,home,TRUE
pdx_library,https://library.pdx.edu/,0,home,TRUE
phoenixpubliclibrary,https://www.phoenixpubliclibrary.org/,0,home,TRUE
pitt_library,https://www.library.pitt.edu/,0,home,TRUE
princeton_library,http://library.princeton.edu/,0,home,TRUE
psu_library,https://libraries.psu.edu/,0,home,TRUE
purdue_library,https://www.lib.purdue.edu/,0,home,TRUE
queenslibrary,https://www.queenslibrary.org/,0,home,TRUE
queensu_library,http://library.queensu.ca/,0,home,TRUE
rice_library,https://library.rice.edu/,0,home,TRUE
rit_library,https://library.rit.edu/,0,home,TRUE
